School,SIS ID,Class,Test 1 Num Correct,Test 1 Num Correct,Test 2 Num Correct,Test 2 Num Incorrect,Test 3 Num Correct,Test 3 Num Incorrect,PAT Reading 2022,PAT Reading 2022 Band,PAT Maths 2022,PAT Maths 2022 Band,PAT Reading 2021,PAT Reading 2021 Band,PAT Maths 2021,PAT Maths 2021 Band,NAPLAN 2023 Reading Score,NAPLAN 2023 Reading Proficiency,NAPLAN 2023 Writing Score,NAPLAN 2023 Writing Proficiency,NAPLAN 2023 Grammar and Punctuation Score,NAPLAN 2023 Grammar and Punctuation Proficiency,NAPLAN 2023 Spelling Score,NAPLAN 2023 Spelling Proficiency,NAPLAN 2023 Numeracy Score,NAPLAN 2023 Numeracy Proficiency,NAPLAN 2021 Reading Score,NAPLAN 2021 Reading Band,NAPLAN 2021 Writing Score,NAPLAN 2021 Writing Band,NAPLAN 2021 Grammar and Punctuation Score,NAPLAN 2021 Grammar and Punctuation Band,NAPLAN 2021 Spelling Score,NAPLAN 2021 Spelling Band,NAPLAN 2021 Numeracy Score,NAPLAN 2021 Numeracy Band
A,635672291,7ENGA,36,1,37,2,47,1,147.6,140-149,135.9,145-154,148.7,140-149,136.2,145-154,662.2,Exceeding,613.1,Strong,670,Exceeding,529,Strong,594.8,Strong,645.629,Band 9,471.6,Band 5,567.189,Band 7,524.173,Band 6,542.358,Band 7
A,718996056,7ENGA,33,1,30,1,50,1,132.7,130-139,136,125-134,127.8,120-129,131.4,125-134,584.9,Strong,627.2,Exceeding,638.1,Exceeding,629,Exceeding,566.5,Strong,563.201,Band 7,534.9,Band 7,565.253,Band 7,606.109,Band 8,546.831,Band 7
A,849567897,7ENGA,46,1,41,3,57,2,134.3,130-139,152.7,125-134,138.1,130-139,145.1,135-144,591.6,Strong,547.1,Strong,713.4,Exceeding,650.3,Exceeding,662.9,Exceeding,549.911,Band 7,609,Band 8,723.575,Band 10,629.31,Band 8,658.243,Band 9
A,518877908,7ENGA,49,0,46,1,64,0,148.2,140-149,140.8,145-154,139,130-139,151.6,135-144,662.7,Exceeding,641.2,Exceeding,617.8,Strong,624.8,Exceeding,673.8,Exceeding,598.347,Band 8,666,Band 9,637.113,Band 9,629.953,Band 8,647.151,Band 9
A,826084625,7ENGA,26,0,28,0,39,0,136.3,130-139,126.7,135-144,145.3,140-149,130,145-154,646.7,Exceeding,547.1,Strong,672.7,Exceeding,578.9,Strong,558.3,Strong,564.826,Band 7,484.6,Band 6,613.79,Band 8,580.679,Band 7,520.571,Band 6
A,398840792,7ENGA,38,1,46,1,61,3,139.5,130-139,136.6,135-144,137.6,130-139,135.6,135-144,565.4,Strong,682,Exceeding,595.2,Strong,613.1,Exceeding,622.5,Strong,555.636,Band 7,522.5,Band 6,558.626,Band 7,597.46,Band 8,599.516,Band 8
A,101865566,7ENGA,,,43,14,,,137.8,130-139,146.6,135-144,130.4,130-139,141.9,125-134,630.9,Exceeding,547.1,Strong,602,Strong,664.6,Exceeding,682.7,Exceeding,583.992,Band 8,547.4,Band 7,651.365,Band 9,595.711,Band 8,641.264,Band 9
A,650382373,7ENGA,31,0,29,0,57,0,145.1,140-149,142.9,145-154,141.4,140-149,144.9,135-144,682.1,Exceeding,721.2,Exceeding,600.6,Strong,590.7,Strong,602.3,Strong,600.89,Band 8,585.4,Band 8,600.629,Band 8,570.377,Band 7,569.124,Band 7
A,955073255,7ENGA,45,0,44,2,55,0,137.2,130-139,135.3,135-144,138.2,130-139,130.1,135-144,603.6,Exceeding,655.1,Exceeding,591,Strong,544.9,Strong,595.7,Strong,566.398,Band 7,560.2,Band 7,613.79,Band 8,493.425,Band 6,578.699,Band 7
A,139863873,7ENGA,,,45,1,75,0,,,,,,,,,684.5,Exceeding,599.3,Strong,610.7,Strong,679,Exceeding,639.4,Exceeding,,,,,,,,,,
A,594480048,7ENGA,17,1,27,0,42,0,135.1,130-139,144.4,135-144,125.7,120-129,132.9,125-134,NULL,UNKNOWN,547.1,Strong,NULL,UNKNOWN,NULL,UNKNOWN,637.2,Exceeding,554.308,Band 7,510,Band 6,519.139,Band 6,474.057,Band 5,560.379,Band 7
A,295414381,7ENGA,40,0,43,,60,2,136.3,130-139,151.3,135-144,132.6,130-139,153.2,125-134,576.7,Strong,668.6,Exceeding,649.9,Exceeding,646.4,Exceeding,682.8,Exceeding,551.259,Band 7,547.4,Band 7,631.7,Band 8,591.966,Band 8,647.512,Band 9
